
Blender killed
9M (0.00M, Peak 1073.94M) | Time:00:01.83 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car0
Fra:44 Mem:1061.52M (0.00M, Peak 1154.20M) | Time:00:04.11 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000000
Fra:44 Mem:1061.52M (0.00M, Peak 1154.20M) | Time:00:04.11 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | test
Fra:44 Mem:1061.52M (0.00M, Peak 1154.20M) | Time:00:04.11 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:44 Mem:725.09M (0.00M, Peak 1154.20M) | Time:00:04.12 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:44 Mem:725.09M (0.00M, Peak 1154.20M) | Time:00:04.12 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:44 Mem:725.09M (0.00M, Peak 1154.20M) | Time:00:04.12 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:44 Mem:725.09M (0.00M, Peak 1154.20M) | Time:00:04.12 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:44 Mem:725.47M (0.00M, Peak 1154.20M) | Time:00:04.13 | Mem:0.11M, Peak:0.11M | Scene, RenderLayer | Updating Background
Fra:44 Mem:725.47M (0.00M, Peak 1154.20M) | Time:00:04.13 | Mem:0.11M, Peak:0.11M | Scene, RenderLayer | Updating Camera
Fra:44 Mem:725.47M (0.00M, Peak 1154.20M) | Time:00:04.14 | Mem:0.11M, Peak:0.11M | Scene, RenderLayer | Updating Meshes Flags
Fra:44 Mem:725.47M (0.00M, Peak 1154.20M) | Time:00:04.14 | Mem:0.11M, Peak:0.11M | Scene, RenderLayer | Updating Objects
Fra:44 Mem:725.47M (0.00M, Peak 1154.20M) | Time:00:04.14 | Mem:0.11M, Peak:0.11M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:44 Mem:725.49M (0.00M, Peak 1154.20M) | Time:00:04.15 | Mem:0.14M, Peak:0.14M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:44 Mem:725.49M (0.00M, Peak 1154.20M) | Time:00:04.16 | Mem:0.14M, Peak:0.14M | Scene, RenderLayer | Updating Hair Systems
Fra:44 Mem:725.49M (0.00M, Peak 1154.20M) | Time:00:04.16 | Mem:0.14M, Peak:0.14M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:44 Mem:725.49M (0.00M, Peak 1154.20M) | Time:00:04.16 | Mem:0.14M, Peak:0.14M | Scene, RenderLayer | Updating Particle Systems
Fra:44 Mem:725.49M (0.00M, Peak 1154.20M) | Time:00:04.16 | Mem:0.14M, Peak:0.14M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:44 Mem:725.49M (0.00M, Peak 1154.20M) | Time:00:04.16 | Mem:0.14M, Peak:0.14M | Scene, RenderLayer | Updating Meshes
Fra:44 Mem:760.46M (0.00M, Peak 1154.20M) | Time:00:04.23 | Mem:0.14M, Peak:0.14M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:44 Mem:760.53M (0.00M, Peak 1154.20M) | Time:00:04.23 | Mem:0.16M, Peak:0.16M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:44 Mem:760.50M (0.00M, Peak 1154.20M) | Time:00:04.24 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:44 Mem:760.50M (0.00M, Peak 1154.20M) | Time:00:04.24 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:44 Mem:891.63M (0.00M, Peak 1154.20M) | Time:00:04.69 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH 0%, duplicates 0%
Fra:44 Mem:891.63M (0.00M, Peak 1154.20M) | Time:00:04.97 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH 1%, duplicates 0%
Fra:44 Mem:891.63M (0.00M, Peak 1154.20M) | Time:00:05.22 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH 16%, duplicates 0%
Fra:44 Mem:891.63M (0.00M, Peak 1154.20M) | Time:00:05.48 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH 30%, duplicates 0%
Fra:44 Mem:891.63M (0.00M, Peak 1154.20M) | Time:00:05.73 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH 44%, duplicates 0%
Fra:44 Mem:891.63M (0.00M, Peak 1154.20M) | Time:00:05.98 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH 57%, duplicates 0%
Fra:44 Mem:891.63M (0.00M, Peak 1154.20M) | Time:00:06.24 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH 70%, duplicates 0%
Fra:44 Mem:891.63M (0.00M, Peak 1154.20M) | Time:00:06.49 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH 86%, duplicates 0%
Fra:44 Mem:891.63M (0.00M, Peak 1154.20M) | Time:00:06.87 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:44 Mem:1014.01M (0.00M, Peak 1154.20M) | Time:00:06.99 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:44 Mem:952.12M (0.00M, Peak 1154.20M) | Time:00:07.10 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:44 Mem:960.86M (0.00M, Peak 1154.20M) | Time:00:07.11 | Mem:191.79M, Peak:191.79M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:44 Mem:1042.57M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:191.79M, Peak:191.79M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.50M, Peak:273.50M | Scene, RenderLayer | Updating Objects Flags
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000004.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000002.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000038.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000001.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000000.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000039.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000040.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000042.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000043.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000041.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000044.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000045.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000047.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000048.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000046.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000049.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000050.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000052.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000053.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000051.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000054.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000055.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000057.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000058.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000056.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000059.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000060.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000062.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000063.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000061.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.13 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000064.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000065.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000067.png
Fra:44 Mem:1033.83M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000068.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000066.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000069.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000070.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000072.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000073.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000071.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000074.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000075.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000077.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000078.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000076.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000079.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000080.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000082.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000083.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000081.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000084.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000085.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000087.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000088.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000086.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000089.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000090.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000092.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000093.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000091.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000094.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000095.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000097.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000098.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000096.png
Fra:44 Mem:1033.84M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000099.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000100.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.14 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000102.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000103.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000101.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000104.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000105.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000107.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000106.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000108.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000109.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000110.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000111.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000112.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000113.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000115.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000114.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000116.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000117.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000118.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000119.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000120.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000121.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000122.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000123.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000124.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000125.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000126.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000127.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000128.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000129.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000130.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000131.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000132.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000133.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000134.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000135.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000136.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000137.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000138.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000139.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000140.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000141.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.15 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000142.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000144.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000143.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000145.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000146.png
Fra:44 Mem:1033.85M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000148.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000149.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000147.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000150.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000151.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000153.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000154.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000152.png
